Car_ID,Year,Car_Make,Car_Model,Total_Points,Ranking
113,2012,Acura,Tsx sportwagon,116,3
112,2008,Acura,TL,110,5
114,2015,Acura,TLX,102,7
15,2014,Audi,S4,120,2
18,2015,Audi,S3,38,33
116,2008,Audi,A4,28,38
98,2012,Benz,C63,26,39
2,2016,Bmw,M2,24,40
172,2014,Bmw,4,22,41
111,2007,Bmw,328i,10,47
218,2010,Chevy,Camaro,64,20
170,2014,Chevy,Cruze,50,27
0,2015,Chevy,Camaro,0,52
216,2007,Chrystler,300,96,8
99,2014,Civic,Si,38,33
72,2016,Civic,Si,4,50
104,2014,Civic coupe,Si,48,28
42,2001,Dodge,Viper,8,48
137,2017,Ford,Focus rs,54,25
120,2014,Ford,Focus st,30,37
219,2016,Ford,Focus rs,26,39
83,2014,Honda,Accord,112,4
65,2009,Honda,Fit,106,6
31,2007,Honda,Fit,102,7
30,2012,Hyundai,Celoster,66,19
38,2017,Hyundai,Elantra sport,62,21
92,2017,Hyundai,Elantra sport,30,37
95,2004,Infiniti,G35,12,46
122,2011,Infinity,M37s,44,30
20,2009,Infinity,G37,38,33
124,2015,Jeep,Wrangler,124,1
123,2006,Lexus,Sc430,66,19
222,2015,Lexus,Is250,40,32
190,1995,Lexus,Sc300,10,47
52,2007,Mazda,Speed 3,48,28
78,2015,Mazda,6,36,34
141,1993,Mazda,Miata,26,39
25,2012,Mercedes,C250,78,14
84,2012,Mercedes,Cl63amg,70,17
17,2016,Mercedes,C43,34,35
91,2010,Mitsu,Lancer,102,7
140,1995,Mitsu,Evo8,44,30
176,2014,Mitsu,Lancer,40,32
19,2001,Mitsub,Evo7,40,32
228,2010,Nissan,370,92,9
153,2011,Nissan,370,84,11
161,2012,Nissan,370z,84,11
57,2015,Scion,Frs,80,13
235,2013,Scion,Frs,20,42
36,2016,Subaru,WRX,74,15
33,2015,Subaru,Sti,68,18
21,2009,Subaru,WRX,62,21
110,2011,Toyota,Camry,58,23
142,1993,Toyota,Supra,58,23
43,2011,Toyota,4 Runner,54,25
126,2010,Volkswagen,Eos,92,9
180,2011,Volkswagen,Gti,82,12
156,2014,Volkswagen,Gli,56,24
100,2006,Volvo,S60r,22,41
